"NAME:","walk_122_2_2.csv"
"EXPERIMENT TIME:","15/03/2024 23:35:59"
"ACTIVITY TYPE:","Walking"
"COUNT OF ACTUAL STEPS:","120"
""
"Time [sec]","ACC X","ACC Y","ACC Z","GYRO X","GYRO Y","GYRO Z"
"24.77","15.1","8.20","-1.80","2.31","-1.98","-0.28"
"24.83","5.53","-0.98","-2.67","0.51","-0.27","0.25"
"24.91","5.73","2.24","-0.20","0.73","0.10","0.67"
"24.97","7.22","2.04","-3.65","0.63","0.38","0.57"
"25.02","7.10","0.63","-2.90","0.99","1.04","-0.46"
"25.10","10.8","5.73","-2.79","0.53","-0.09","-0.36"
"25.16","18.5","11.9","7.26","-0.48","0.57","0.28"
"25.22","7.10","-1.14","0.47","-0.77","0.43","1.67"
"25.29","10.7","5.06","-1.96","0.01","0.15","-0.95"
"25.35","4.86","6.55","1.29","-0.79","1.28","-0.64"
"25.41","5.06","0.78","-4.08","-0.70","-0.30","-0.20"
"25.47","9.06","3.49","0.63","-1.35","0.39","-0.54"
"25.54","7.96","2.59","-0.59","-0.96","0.95","-0.28"
"25.60","9.26","-1.18","0.47","-0.93","-0.16","-0.34"
"25.66","8.67","4.90","4.39","0.57","-1.87","-0.56"
"25.72","16.6","11.6","2.59","1.04","-2.32","0.10"
"25.79","10.1","0.67","1.02","0.03","-0.20","0.21"
"25.85","7.14","2.00","-1.37","0.63","0.41","0.32"
"25.91","6.51","2.67","-3.18","0.26","-0.39","0.76"
"25.97","8.12","0.59","-3.33","0.45","1.08","0.01"
"26.04","9.49","3.73","-1.57","1.09","0.60","-0.69"
"26.10","15.3","7.02","0.12","-0.14","-0.06","0.13"
"26.16","4.98","4.63","0.20","-0.99","0.27","1.56"
"26.22","12.0","3.73","-0.08","-0.09","-0.13","-0.61"
"26.29","6.83","7.37","1.29","-0.20","1.35","-0.75"
"26.36","4.43","1.22","-1.53","-0.22","0.23","-0.12"
"26.41","7.96","3.53","0.08","-1.21","0.81","-0.25"
"26.47","7.73","5.14","-2.86","-0.92","0.40","-0.45"
"26.55","8.63","0.67","-0.12","-0.77","0.29","-0.14"
"26.61","7.61","-1.92","5.88","-0.52","0.09","-0.24"
"26.66","12.1","10.9","4.86","0.49","-2.14","-0.56"
"26.72","14.0","7.22","-1.61","2.25","-2.14","-0.25"
"26.80","6.71","0.71","-1.65","0.56","-0.06","0.15"
"26.86","6.16","3.73","-0.16","0.28","-0.44","0.55"
"26.91","8.00","1.10","-3.49","-0.02","0.04","0.66"
"26.99","8.04","-0.20","-4.00","0.54","0.86","-0.35"
"27.05","9.45","3.73","-0.43","0.41","0.60","-0.50"
"27.11","17.3","12.0","4.24","-0.48","0.47","0.42"
"27.18","6.59","-0.12","-1.69","-0.51","0.13","1.67"
"27.24","11.1","5.10","-1.49","0.10","-0.12","-0.89"
"27.30","5.26","5.33","1.53","-0.47","1.13","-0.67"
"27.36","5.77","0.55","-2.79","-0.23","-0.02","-0.15"
"27.43","8.00","4.28","0.43","-1.20","0.89","-0.38"
"27.49","8.00","3.77","-2.20","-0.74","0.88","-0.22"
"27.55","9.06","-1.10","-1.49","-0.85","-0.08","-0.08"
"27.62","7.14","0.67","7.26","0.21","-1.13","-0.33"
"27.68","15.4","10.7","4.28","0.55","-2.03","-0.01"
"27.74","9.53","2.31","-0.08","0.76","-0.30","-0.03"
"27.80","6.86","3.10","-1.22","0.86","-0.08","0.05"
"27.87","7.10","3.61","-2.43","0.32","-0.54","0.66"
"27.93","8.20","0.63","-2.86","0.30","0.83","0.28"
"27.99","7.65","1.92","-3.10","0.92","0.85","-0.55"
"28.05","10.4","3.65","-6.43","0.25","-0.54","-0.09"
"28.12","19.8","15.5","8.63","-0.45","0.87","0.53"
"28.18","7.02","-0.78","1.22","-0.17","0.76","1.07"
"28.25","11.2","5.73","-2.20","0.32","-0.61","-1.01"
"28.30","5.06","5.45","3.22","-1.12","0.96","-0.38"
"28.37","5.92","0.55","-1.29","-0.74","0.49","-0.29"
"28.43","8.71","4.59","-1.49","-0.95","0.29","-0.70"
"28.5","7.22","2.94","-0.35","-0.79","0.87","-0.35"
"28.55","8.36","-0.35","-1.33","-0.79","-0.02","-0.17"
"28.62","7.92","1.18","7.14","0.04","-1.01","-0.00"
"28.69","14.8","11.9","2.47","0.43","-2.40","-0.20"
"28.75","9.65","3.02","0.08","1.11","-0.39","-0.17"
"28.80","8.00","1.84","-1.22","0.61","0.18","0.35"
"28.88","6.12","3.33","-2.12","0.23","-0.38","0.72"
"28.94","8.08","0.82","-2.98","0.29","0.96","0.08"
"29.0","8.12","1.92","-2.28","0.95","0.63","-0.64"
"29.05","12.2","4.28","-3.92","-0.17","-0.43","-0.00"
"29.82","8.16","2.98","-1.37","0.97","0.06","0.36"
"29.88","6.16","3.14","-2.63","0.37","-0.20","0.82"
"29.94","7.41","0.12","-2.43","0.56","1.08","0.11"
"30.38","5.61","1.06","-1.69","-0.79","0.24","-0.31"
"30.82","6.79","2.63","0.20","0.92","0.36","0.50"
"30.88","7.02","2.75","-4.43","0.50","-0.08","0.78"
"30.94","7.18","0.31","-2.94","0.78","1.14","-0.14"
"31.38","7.41","2.20","0.08","-1.19","0.75","-0.38"
"31.44","7.92","4.39","-2.59","-1.12","0.35","-0.44"
"31.51","8.90","-0.82","-0.47","-0.46","0.34","-0.04"
"31.57","7.49","2.35","3.33","-1.24","0.36","-0.18"
"31.63","10.0","8.08","2.86","0.83","-3.07","-0.59"
"31.69","15.4","7.81","-1.29","2.04","-1.48","-0.00"
"31.76","7.92","-1.53","-1.37","0.05","-0.13","0.22"
"31.82","6.47","2.75","-1.14","0.84","0.02","0.46"
"31.89","6.35","1.96","-3.73","0.45","0.21","0.54"
"31.94","6.71","0.39","-2.20","0.77","1.02","-0.36"
"32.01","11.3","6.35","-3.45","0.52","-0.08","-0.49"
"32.07","14.9","5.45","4.24","-0.35","0.59","0.12"
"32.14","5.22","6.12","0.20","-0.61","0.05","1.46"
"32.19","12.1","2.24","0.82","0.00","0.08","-0.19"
"32.26","7.65","8.67","-0.59","-0.17","0.92","-0.86"
"32.33","4.79","2.00","-1.37","-0.51","-0.20","-0.15"
"32.39","8.12","2.67","1.14","-1.32","1.01","-0.34"
"32.44","7.88","4.08","-2.31","-1.00","0.75","-0.41"
"32.52","8.51","-0.78","-0.35","-0.64","0.30","-0.18"
"32.58","8.43","-0.04","4.04","-0.71","0.01","-0.18"
"32.64","11.1","10.0","1.77","0.54","-2.53","-0.45"
