NAME:,run1_123_3_1.csv,,,,,
EXPERIMENT TIME:,12/03/2024 16:46:15,,,,,
ACTIVITY TYPE:,Running,,,,,
COUNT OF ACTUAL STEPS:,90,,,,,
,,,,,,
Time [sec],ACC X,ACC Y,ACC Z,GYRO X,GYRO Y,GYRO Z
23.6160,-20.01,-3.10,14.95,0.23,-0.28,-0.66
23.6980,-17.06,-4.04,4.20,0.49,0.16,1.02
23.7800,-6.86,-3.77,0.51,1.26,-0.76,0.64
23.8620,0.00,4.75,-0.04,0.45,-0.14,-0.71
23.9440,-4.71,2.47,8.39,0.16,0.27,-1.03
24.0260,-16.55,-5.73,5.14,-0.51,0.39,0.60
24.1080,-18.79,-2.28,6.55,0.24,-1.60,0.26
24.1900,-8.24,-0.59,2.08,0.16,-0.97,-0.07
24.2720,0.20,0.75,1.37,-0.48,0.17,0.26
24.3540,-5.10,9.45,12.12,-1.74,0.53,-0.46
24.4360,-20.01,-0.04,8.63,0.39,1.71,-0.13
24.5180,-15.89,-1.33,2.94,0.43,0.27,1.20
24.6000,3.37,-1.73,-4.00,0.69,-0.41,0.45
24.6820,0.47,2.90,0.20,0.19,0.47,-1.05
24.7640,-20.01,-14.55,-4.86,-0.52,1.01,-0.39
24.8460,-12.28,1.22,2.47,-0.70,-0.63,-0.19
24.9280,-14.28,-3.80,4.20,0.34,-1.76,-0.18
25.0100,-4.86,-2.28,1.77,0.52,-0.22,0.27
25.0920,1.29,1.06,-0.24,-1.07,0.64,0.01
25.1740,-7.45,0.86,9.92,-2.30,1.15,-0.13
25.2560,-17.73,-5.45,4.94,0.56,1.51,-0.08
25.3380,-12.04,-2.98,2.31,0.62,0.27,0.82
25.4200,3.69,0.71,-4.20,0.59,-0.25,0.41
25.5020,0.78,0.16,-1.49,0.30,0.76,-0.94
25.5840,-7.10,-2.24,14.08,-0.81,3.05,1.20
25.6660,-14.20,1.29,3.88,-0.67,-1.39,-0.13
25.7480,-12.59,-4.51,3.22,0.48,-1.35,-0.58
25.8300,-2.94,-1.29,1.77,0.03,0.01,0.64
25.9120,1.10,1.26,0.24,-1.02,0.68,-0.19
25.9940,-20.01,1.29,10.24,-1.45,0.59,-1.09
26.0760,-17.89,-5.45,5.06,0.89,0.65,0.48
26.1580,-10.36,-3.57,1.49,1.30,-0.26,0.53
26.2400,2.28,4.39,0.39,0.19,-0.19,0.21
26.3220,-1.26,-0.67,-0.55,0.01,0.69,-0.81
26.4040,-20.01,-2.00,3.80,0.10,-0.35,0.36
26.4860,-20.01,0.00,6.12,-0.26,-1.72,-0.06
26.5680,-12.83,-2.67,3.45,0.45,-1.48,-0.59
26.6500,0.00,-2.71,1.26,0.29,-0.04,0.48
26.7320,1.14,0.39,2.39,-0.93,0.83,-0.44
26.8140,-20.01,2.47,14.40,-1.12,-0.24,-0.82
26.8960,-17.30,-6.08,3.96,0.70,0.52,0.96
26.9780,-8.04,-3.22,1.77,1.10,-0.40,0.43
27.0600,1.57,6.20,-0.63,0.09,0.02,-0.10
27.1420,0.00,0.24,7.41,0.05,0.35,-0.95
27.2240,-15.61,-4.24,5.18,-0.28,0.47,0.75
27.3060,-19.89,-2.35,6.35,0.44,-1.80,0.05
27.3880,-8.59,-1.26,2.59,0.51,-1.18,-0.12
27.4700,0.00,0.78,0.86,-0.08,0.00,0.36
27.5520,-1.33,4.47,12.08,-1.36,0.68,-0.50
